,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),buy
0,1,Male,19,15,39,0
1,2,Male,21,15,81,0
2,3,Female,20,16,6,0
3,4,Female,23,16,77,0
4,5,Female,31,17,40,0
5,6,Female,22,17,76,0
6,7,Female,35,18,6,0
7,8,Female,23,18,94,0
8,9,Male,64,19,3,0
9,10,Female,30,19,72,0
10,11,Male,67,19,14,0
11,12,Female,35,19,99,0
12,13,Female,58,20,15,0
13,14,Female,24,20,77,0
14,15,Male,37,20,13,0
15,16,Male,22,20,79,0
16,17,Female,35,21,35,0
17,18,Male,20,21,66,0
18,19,Male,52,23,29,0
19,20,Female,35,23,98,0
20,21,Male,35,24,35,0
21,22,Male,25,24,73,0
22,23,Female,46,25,5,0
23,24,Male,31,25,73,0
24,25,Female,54,28,14,0
25,26,Male,29,28,82,0
26,27,Female,45,28,32,0
27,28,Male,35,28,61,0
28,29,Female,40,29,31,0
29,30,Female,23,29,87,0
30,31,Male,60,30,4,0
31,32,Female,21,30,73,0
32,33,Male,53,33,4,0
33,34,Male,18,33,92,0
34,35,Female,49,33,14,0
35,36,Female,21,33,81,0
36,37,Female,42,34,17,0
37,38,Female,30,34,73,0
38,39,Female,36,37,26,0
39,40,Female,20,37,75,0
40,41,Female,65,38,35,0
41,42,Male,24,38,92,0
42,43,Male,48,39,36,0
43,44,Female,31,39,61,0
44,45,Female,49,39,28,0
45,46,Female,24,39,65,0
46,47,Female,50,40,55,1
47,48,Female,27,40,47,0
48,49,Female,29,40,42,0
49,50,Female,31,40,42,0
50,51,Female,49,42,52,0
51,52,Male,33,42,60,0
52,53,Female,31,43,54,0
53,54,Male,59,43,60,1
54,55,Female,50,43,45,0
55,56,Male,47,43,41,0
56,57,Female,51,44,50,0
57,58,Male,69,44,46,0
58,59,Female,27,46,51,0
59,60,Male,53,46,46,0
60,61,Male,70,46,56,1
61,62,Male,19,46,55,0
62,63,Female,67,47,52,0
63,64,Female,54,47,59,1
64,65,Male,63,48,51,0
65,66,Male,18,48,59,0
66,67,Female,43,48,50,0
67,68,Female,68,48,48,0
68,69,Male,19,48,59,0
69,70,Female,32,48,47,0
70,71,Male,70,49,55,1
71,72,Female,47,49,42,0
72,73,Female,60,50,49,0
73,74,Female,60,50,56,1
74,75,Male,59,54,47,0
75,76,Male,26,54,54,0
76,77,Female,45,54,53,0
77,78,Male,40,54,48,0
78,79,Female,23,54,52,0
79,80,Female,49,54,42,0
80,81,Male,57,54,51,0
81,82,Male,38,54,55,0
82,83,Male,67,54,41,0
83,84,Female,46,54,44,0
84,85,Female,21,54,57,0
85,86,Male,48,54,46,0
86,87,Female,55,57,58,1
87,88,Female,22,57,55,0
88,89,Female,34,58,60,0
89,90,Female,50,58,46,1
90,91,Female,68,59,55,1
91,92,Male,18,59,41,0
92,93,Male,48,60,49,0
93,94,Female,40,60,40,0
94,95,Female,32,60,42,0
95,96,Male,24,60,52,0
96,97,Female,47,60,47,0
97,98,Female,27,60,50,0
98,99,Male,48,61,42,0
99,100,Male,20,61,49,0
100,101,Female,23,62,41,0
101,102,Female,49,62,48,0
102,103,Male,67,62,59,1
103,104,Male,26,62,55,0
104,105,Male,49,62,56,0
105,106,Female,21,62,42,0
106,107,Female,66,63,50,1
107,108,Male,54,63,46,1
108,109,Male,68,63,43,1
109,110,Male,66,63,48,1
110,111,Male,65,63,52,1
111,112,Female,19,63,54,0
112,113,Female,38,64,42,0
113,114,Male,19,64,46,0
114,115,Female,18,65,48,0
115,116,Female,19,65,50,0
116,117,Female,63,65,43,1
117,118,Female,49,65,59,0
118,119,Female,51,67,43,1
119,120,Female,50,67,57,1
120,121,Male,27,67,56,0
121,122,Female,38,67,40,0
122,123,Female,40,69,58,0
123,124,Male,39,69,91,0
124,125,Female,23,70,29,0
125,126,Female,31,70,77,0
126,127,Male,43,71,35,0
127,128,Male,40,71,95,0
128,129,Male,59,71,11,1
129,130,Male,38,71,75,0
130,131,Male,47,71,9,0
131,132,Male,39,71,75,0
132,133,Female,25,72,34,0
133,134,Female,31,72,71,0
134,135,Male,20,73,5,0
135,136,Female,29,73,88,0
136,137,Female,44,73,7,0
137,138,Male,32,73,73,0
138,139,Male,19,74,10,0
139,140,Female,35,74,72,0
140,141,Female,57,75,5,1
141,142,Male,32,75,93,0
142,143,Female,28,76,40,0
143,144,Female,32,76,87,0
144,145,Male,25,77,12,0
